# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
,260,         5.180,       52.100,       1.90,  DE BILT
,380,         5.762,       50.906,     114.30,  MAASTRICHT
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# TG       = Etmaalgemiddelde temperatuur (in 0.1 graden Celsius); 
# TN       = Minimum temperatuur (in 0.1 graden Celsius); 
# TX       = Maximum temperatuur (in 0.1 graden Celsius); 
# 
# STN,YYYYMMDD,   TG,   TN,   TX
# 
  380,19630720,  182,  155,  228
  380,19630721,  192,  124,  254
  380,19630722,  234,  167,  304
  380,19630723,  218,  183,  279
  380,19630724,  230,  181,  270
  380,19630725,  160,  110,  208
  380,19630726,  140,   89,  195
  380,19630727,  141,   83,  196
  380,19630728,  157,   90,  217
  380,19630729,  179,  101,  243
  380,19630730,  187,  111,  258
  380,19630731,  161,  103,  225
  380,19630801,  182,   98,  264
  380,19630802,  225,  134,  311
  380,19630803,  230,  176,  283
  380,19630804,  183,  138,  230
  380,19630805,  190,  153,  236
  380,19630806,  206,  136,  268
  380,19630807,  177,  152,  222
  380,19630808,  152,  106,  185
  380,19630809,  137,  113,  173
  380,19630810,  155,  102,  197
  380,19630811,  160,  124,  198
  380,19630812,  148,  102,  199
  380,19630813,  151,  118,  194
  380,19630814,  155,  110,  191
  380,19630815,  144,  108,  190
  380,19630816,  149,   97,  209
  380,19630817,  137,  104,  167
  380,19630818,  113,   91,  143
  380,19630819,  139,  114,  175
  380,19630820,  131,  103,  199
  380,19630821,  126,   99,  160
  380,19630822,  139,  117,  157
  380,19630823,  147,  119,  180
  380,19630824,  147,  105,  203
  380,19630825,  162,  120,  193
  380,19630826,  179,  141,  195
  380,19630827,  138,  116,  181
  380,19630828,  126,  106,  172
  380,19630829,  130,   80,  191
  380,19630830,  138,   67,  198
  380,19630831,  146,  130,  177
  380,19630901,  164,  108,  218
  380,19630902,  152,  126,  188
  380,19630903,  135,  105,  172
  380,19630904,  136,  105,  165
  380,19630905,  132,  109,  178
  380,19630906,  122,  108,  161
  380,19630907,  120,   85,  170
  380,19630908,  134,   85,  179
  380,19630909,  130,  100,  178
  380,19630910,  139,   81,  194
  380,19630911,  162,  109,  215
  380,19630912,  154,  126,  193
  380,19630913,  129,  113,  157
  380,19630914,  136,  104,  196
  380,19630915,  134,   85,  213
  380,19630916,  173,   88,  253
  380,19630917,  193,  144,  265
  380,19630918,  181,  148,  235
  380,19630919,  148,  122,  172
  380,19630920,  145,   98,  183
  380,19630921,  153,  125,  196
  380,19630922,  167,  138,  209
  380,19630923,  177,  119,  233
  380,19630924,  174,  139,  201
  380,19630925,  100,   67,  139
  380,19630926,  122,   67,  163
  380,19630927,  123,   81,  163
  380,19630928,   87,   62,  133
  380,19630929,  115,   83,  135
  380,19630930,  121,  105,  134
  380,19631001,  105,   77,  133
